city,township,village,name,address,reject_reason
臺北市,士林區,蘭雅里,士東國小,中山北路六段392號,out_of_county_bounds
臺中市,大甲區,南陽里,大甲高中活動中心,大甲區南陽里中山路一段720號,out_of_county_bounds
基隆市,中正區,中正里,台北世貿一館,台北市信義區信義路五段5號,out_of_county_bounds
基隆市,中正區,中正里,台北市世貿三館,台北市信義區松壽路6號,out_of_county_bounds
苗栗縣,三義鄉,龍騰村,龍騰活動中心,4鄰外庄10號,out_of_county_bounds
苗栗縣,三義鄉,雙潭村,雙潭活動中心,2鄰雙連潭40-1號,out_of_county_bounds
苗栗縣,三義鄉,鯉魚潭村,鯉魚潭活動中心室內,鯉魚口2鄰47-2號,out_of_county_bounds
苗栗縣,三義鄉,廣盛村,建中國民小學活動中心室內,6鄰廣盛80號,out_of_county_bounds
苗栗縣,三義鄉,西湖村,西湖村活動中心室內,4鄰上湖64號,out_of_county_bounds
苗栗縣,苑裡鎮,上館里,上?里民眾活動中心,4鄰62-7號,out_of_county_bounds
苗栗縣,三灣鄉,銅鏡村,銅鏡社區活動中心,1鄰小銅鑼圈9之11號,out_of_county_bounds
苗栗縣,三義鄉,西湖村,西湖村活動中心室外,4鄰上湖64號,out_of_county_bounds
苗栗縣,三義鄉,鯉魚潭村,鯉魚潭村活動中心室外,1鄰鯉魚口10-1號,out_of_county_bounds
苗栗縣,三義鄉,廣盛村,建中國民小學操場室外,6鄰廣盛80號,out_of_county_bounds
苗栗縣,苑裡鎮,舊社里,苑裡鎮立托兒所,10鄰110-1號2樓,out_of_county_bounds
苗栗縣,苑裡鎮,苑東里,苑裡鎮老人文康中心,13鄰興隆2-1號,out_of_county_bounds
苗栗縣,苑裡鎮,苑北里,苑裡鎮苑東苑南苑北社區聯合活動中,13鄰中山路312號,out_of_county_bounds
苗栗縣,苑裡鎮,客庄里,苗栗縣立苑裡高中操場,1鄰2號,out_of_county_bounds
苗栗縣,苑裡鎮,舊社里,山腳國小田徑場,10鄰47號,out_of_county_bounds
苗栗縣,苑裡鎮,社苓里,苑裡鎮中山國小操場,51-1號,out_of_county_bounds
苗栗縣,苑裡鎮,客庄里,苑裡鎮立體育場,中正路10鄰1段32號鎮立游泳池旁,out_of_county_bounds
雲林縣,土庫鎮,奮起里,綺湖社區活動中心,綺湖96號,out_of_county_bounds
嘉義縣,大林鎮,三和里,大林鎮公所,中興路二段239號,out_of_county_bounds
嘉義縣,大埔鄉,西興村,西興村活動中心前廣場,菜瓜坪4號之1,out_of_county_bounds
嘉義縣,大埔鄉,大埔村,大埔鄉公所,54號,out_of_county_bounds
嘉義縣,竹崎鄉,緞繻村,文光國際英語村[室內],外埔5號,out_of_county_bounds
嘉義縣,竹崎鄉,灣橋村,嘉義縣竹崎鄉灣橋村朴子埔收容所暨防災物資整備所,4鄰朴子埔32號之2,out_of_county_bounds
嘉義縣,溪口鄉,坪頂村,溪口國中室外,中正東路103號,out_of_county_bounds
嘉義縣,鹿草鄉,松竹村,竹園國小室外,69號,out_of_county_bounds
嘉義縣,鹿草鄉,三角村,後塘國小室外,毛蟹行11號,out_of_county_bounds
彰化縣,永靖鄉,港西村,老人文康活動中心,彰化縣永靖鄉永社路266號,out_of_county_bounds
彰化縣,永靖鄉,港西村,永靖鄉立托兒所,彰化縣永靖鄉永社路267號,out_of_county_bounds
臺中市,梧棲區,安仁里,梧棲國小活動中心,民生街15之89巷1號,out_of_county_bounds
臺東縣,長濱鄉,樟原村,樟原社區活動中心,1鄰6號,out_of_county_bounds
臺東縣,長濱鄉,三間村,三間社區活動中心,7鄰11號,out_of_county_bounds
臺東縣,長濱鄉,三間村,三間村南溪國小,南溪16鄰5-7號,out_of_county_bounds
臺南市,新化區,知義里,同義宮,口埤7號,out_of_county_bounds
臺南市,新化區,太平里,新化區聯合活動中心,民生路269號,out_of_county_bounds
高雄市,林園區,北汕里,高雄市林園區汕尾國民小學,北汕路58巷2號,out_of_county_bounds
嘉義縣,六腳鄉,更寮村,更寮國小-室內,更寮村19號,out_of_county_bounds
基隆市,中正區,中正里,復興崗營區,台北市北投區中央北路二段70號,out_of_county_bounds
嘉義縣,竹崎鄉,義仁村,義仁社區活動中心,義仁村7鄰坪頂14-1號,out_of_county_bounds
宜蘭縣,礁溪鄉,六結村,礁溪鄉公所二樓,中山路二段3號,out_of_county_bounds
桃園市,新屋區,蚵間里,蚵間社區活動中心,2鄰14號,out_of_county_bounds
桃園市,新屋區,埔頂里,埔頂社區活動中心,2鄰34號,out_of_county_bounds
桃園市,新屋區,大坡里,大坡社區活動中心,5鄰三角堀5號,out_of_county_bounds
桃園市,新屋區,新生里,新屋區婦幼館,中山路370號,out_of_county_bounds
桃園市,新屋區,笨港里,笨港社區活動中心,2鄰榕樹下10之1號,out_of_county_bounds
桃園市,新屋區,赤欄里,赤欄社區活動中心,8鄰中山西路2段280號,out_of_county_bounds
桃園市,新屋區,後湖里,後湖社區活動中心,6鄰7之6號,out_of_county_bounds
桃園市,新屋區,下埔里,下埔社區發展協會,4鄰9之4號,out_of_county_bounds
